Datetime,Comments,Datetime_after,Flow_gpm_1,Flow_gpm_2,Flow_gpm_3,Flow_predicted (gpm),Level (inches),Level_above_V_in_After,Level_above_V_in_Before,Manual Level_in,Manual Measurement (inches),Predicted_flow_After,Predicted_flow_Before,SITE ID,V-notch weir equation (gpm),calculated offset,Level_in,Level_in_clipped,Vnotch(in),CrestWidth(in),Flow (gpm),Flow (gpm) no stormflow,Flow (gpm) USBR,Flow (gpm) USBR no stormflow,Flow (gpm) CTRSC,Flow (gpm) CTRSC no stormflow
2016-05-13 10:45:00,,,17.272,,,,,,,,,,,,,,2.45,2.45,6.0,32.0,21.35,21.35,21.35,21.35,21.35,21.35
2016-05-25 10:35:00,,,17.082,,,,,,,,,,,,,,2.18,2.18,6.0,32.0,15.965,15.965,15.965,15.965,15.965,15.965
2016-06-22 13:05:00,,,14.205,,,,,,,,,,,,,,2.12,2.12,6.0,32.0,14.894,14.894,14.894,14.894,14.894,14.894
2016-07-22 12:30:00,,,13.535,,,,,,,,,,,,,,2.23,2.23,6.0,32.0,16.892,16.892,16.892,16.892,16.892,16.892
2016-08-05 08:20:00,,,14.205,,,,,,,,,,,,,,2.07,2.07,6.0,32.0,14.036,14.036,14.036,14.036,14.036,14.036
2016-08-29 10:45:00,,,17.851,,,,,,,,,,,,,,2.07,2.07,6.0,32.0,14.036,14.036,14.036,14.036,14.036,14.036
2016-09-23 10:55:00,,,15.603,,,,,,,,,,,,,,2.01,2.01,6.0,32.0,13.045,13.045,13.045,13.045,13.045,13.045
2016-10-04 10:55:00,,,15.603,,,,,,,,,,,,,,,,,,,,,,,
2017-05-12 09:20:00,,,31.7006158888,,,,,,,,,,,SDG-115,28.467,,3.06,3.06,6.0,32.0,37.146,37.146,37.146,37.146,37.146,37.146
2017-05-26 10:20:00,,,35.2141008165,,,,,,,,,,,SDG-115,25.232,,2.95,2.95,6.0,32.0,33.908,33.908,33.908,33.908,33.908,33.908
2017-06-09 09:15:00,,,30.1684194542,,,,,,,,,,,SDG-115,22.452,,2.58,2.58,6.0,32.0,24.284,24.284,24.284,24.284,24.284,24.284
2017-06-20 08:45:00,,,18.0693510566,,,,,,,,,,,SDG-115,12.884,,2.48,2.48,6.0,32.0,22.007,22.007,22.007,22.007,22.007,22.007
2017-07-06 17:20:00,,,25.8861813162,,,,,,,,,,,SDG-115,22.452,,2.46,2.46,6.0,32.0,21.568,21.568,21.568,21.568,21.568,21.568
2017-07-06 17:20:00,,,23.6702607577,,,,,,,,,,,SDG-115,22.452,,2.46,2.46,6.0,32.0,21.568,21.568,21.568,21.568,21.568,21.568
2017-07-06 17:20:00,,,24.0426019381,,,,,,,,,,,SDG-115,22.452,,2.46,2.46,6.0,32.0,21.568,21.568,21.568,21.568,21.568,21.568
2017-07-06 17:20:00,,,,,,,,,2.5,7.455,,,,SDG-115,,-4.955,2.46,2.46,6.0,32.0,21.568,21.568,21.568,21.568,21.568,21.568
2017-07-06 17:20:00,,,,,,,,,2.5,7.455,,,,SDG-115,,-4.955,2.46,2.46,6.0,32.0,21.568,21.568,21.568,21.568,21.568,21.568
2017-07-06 17:20:00,,,,,,,,,2.5,7.455,,,,SDG-115,,-4.955,2.46,2.46,6.0,32.0,21.568,21.568,21.568,21.568,21.568,21.568
2017-07-06 17:20:00,,,,,,,,,2.5,7.455,,,,SDG-115,,-4.955,2.46,2.46,6.0,32.0,21.568,21.568,21.568,21.568,21.568,21.568
2017-07-06 17:20:00,,,,,,,,,2.5,7.455,,,,SDG-115,,-4.955,2.46,2.46,6.0,32.0,21.568,21.568,21.568,21.568,21.568,21.568
2017-07-06 17:20:00,,,,,,,,,2.5,7.455,,,,SDG-115,,-4.955,2.46,2.46,6.0,32.0,21.568,21.568,21.568,21.568,21.568,21.568
2017-07-06 17:20:00,,,,,,,,,2.5,7.455,,,,SDG-115,,-4.955,2.46,2.46,6.0,32.0,21.568,21.568,21.568,21.568,21.568,21.568
2017-07-06 17:20:00,,,,,,,,,2.5,7.455,,,,SDG-115,,-4.955,2.46,2.46,6.0,32.0,21.568,21.568,21.568,21.568,21.568,21.568
2017-07-06 17:20:00,,,,,,,,,2.5,7.455,,,,SDG-115,,-4.955,2.46,2.46,6.0,32.0,21.568,21.568,21.568,21.568,21.568,21.568
2017-07-13 16:35:00,,,21.5167930345,,,,,,,,,,,SDG-115,19.451,,2.49,2.49,6.0,32.0,22.229,22.229,22.229,22.229,22.229,22.229
2017-07-13 16:35:00,,,,,,,,,2.36220472441,7.49,,,,SDG-115,,-5.12779527559,2.49,2.49,6.0,32.0,22.229,22.229,22.229,22.229,22.229,22.229
2017-07-21 13:35:00,,,23.2117480357,,,,,,,,,,,SDG-115,21.134,,2.57,2.57,6.0,32.0,24.05,24.05,24.05,24.05,24.05,24.05
2017-07-21 13:35:00,,,,,,,,,2.44094488189,7.57,,,,SDG-115,,-5.12905511811,2.57,2.57,6.0,32.0,24.05,24.05,24.05,24.05,24.05,24.05
2017-08-04 12:00:00,,,28.5224050413,,,,,,,,,,,SDG-115,23.587,,2.61,2.61,6.0,32.0,24.993,24.993,24.993,24.993,24.993,24.993
2017-08-04 12:00:00,,,,,,,,,2.55905511811,7.61,,,,SDG-115,,-5.05094488189,2.61,2.61,6.0,32.0,24.993,24.993,24.993,24.993,24.993,24.993
2017-08-18 13:45:00,,,32.5372890354,,,,,,,,,,,SDG-115,28.467,,2.88,2.88,6.0,32.0,31.938,31.938,31.938,31.938,31.938,31.938
2017-08-18 13:45:00,,,,,,,,,2.75590551181,7.88,,,,SDG-115,,-5.12409448819,2.88,2.88,6.0,32.0,31.938,31.938,31.938,31.938,31.938,31.938
2017-08-30 15:05:00,,,32.7937405746,,,,,,,,,,,SDG-115,33.908,,2.92,2.92,6.0,32.0,33.055,33.055,33.055,33.055,33.055,33.055
2017-08-30 15:05:00,,,,,,,,,2.95275590551,7.92,,,,SDG-115,,-4.96724409449,2.92,2.92,6.0,32.0,33.055,33.055,33.055,33.055,33.055,33.055
2017-08-30 15:20:00,,,33.0214748842,,,,,,,,,,,SDG-115,28.467,,2.72,2.72,6.0,32.0,27.7,27.7,27.7,27.7,27.7,27.7
2017-08-30 15:20:00,,,,,,,,,2.75590551181,7.72,,,,SDG-115,,-4.96409448819,2.72,2.72,6.0,32.0,27.7,27.7,27.7,27.7,27.7,27.7
2017-08-31 10:10:00,,,0.0,,,,,,,,,,,SDG-115,29.51,,2.76,2.76,6.0,32.0,28.726,28.726,28.726,28.726,28.726,28.726
2017-08-31 10:10:00,,,,,,,,,2.79527559055,7.76,,,,SDG-115,,-4.96472440945,2.76,2.76,6.0,32.0,28.726,28.726,28.726,28.726,28.726,28.726
2017-09-20 15:35:00,,,28.5195852287,,,,,,,,,,,SDG-115,23.587,,2.57,2.57,6.0,32.0,24.05,24.05,24.05,24.05,24.05,24.05
2017-09-20 15:35:00,,,,,,,,,2.55905511811,7.57,,,,SDG-115,,-5.01094488189,2.57,2.57,6.0,32.0,24.05,24.05,24.05,24.05,24.05,24.05
2017-10-05 13:40:00,,,35.3100919553,,,,,,,,,,,SDG-115,26.449,,,,,,,,,,,
2017-10-05 13:40:00,,,,,,,,,2.67716535433,7.68,,,,SDG-115,,-5.00283464567,,,,,,,,,,
2018-05-14 15:50:00,,,21.7941734236,,,,,,,,,,,SDG-115,,,2.3,2.3,6.0,32.0,18.243,18.243,18.243,18.243,18.243,18.243
2018-05-14 15:50:00,,2018-05-14 15:55:00,,,,,,,2.32283464567,6.42,,,18.641,SDG-115,,-4.09716535433,2.3,2.3,6.0,32.0,18.243,18.243,18.243,18.243,18.243,18.243
