Datetime,Datetime_after,Flow_gpm_1,Flow_gpm_2,Flow_gpm_3,GPM,Level_above_V_in_After,Level_above_V_in_Before,Manual Level_in,SITE ID,V-notch weir equation (gpm),calculated offset,Level_in,Level_in_clipped,Vnotch(in),CrestWidth(in),Flow (gpm),Flow (gpm) no stormflow,Flow (gpm) USBR,Flow (gpm) USBR no stormflow,Flow (gpm) CTRSC,Flow (gpm) CTRSC no stormflow
2017-04-28 09:30:00,,0.0,,,,,,,SDR-097,0.0,,,,,,,,,,,
2017-04-28 09:30:00,,,,,,,0.0,1.177,SDR-097,,-1.177,,,,,,,,,,
2017-05-11 13:50:00,,0.0,,,,,,,SDR-097,0.0,,,,8.0,52.0,,,,,,
2017-05-11 13:50:00,,,,,,,0.0,,SDR-097,,,,,8.0,52.0,,,,,,
2017-05-30 09:40:00,,0.0,,,,,,,SDR-097,0.0,,0.0,0.0,8.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-08 13:25:00,,0.0,,,,,,,SDR-097,0.0,,0.0,0.0,8.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-08 13:25:00,,,,,,,0.0,4.262,SDR-097,,-4.262,0.0,0.0,8.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-20 13:00:00,,0.121519027574,,,,,,,SDR-097,0.011,,0.61,0.61,8.0,52.0,0.654,0.654,0.654,0.654,0.654,0.654
2017-06-20 13:00:00,,,,,,,0.125,5.599,SDR-097,,-5.474,0.61,0.61,8.0,52.0,0.654,0.654,0.654,0.654,0.654,0.654
2017-07-06 13:30:00,,0.0,,,,,,,SDR-097,,,0.0,0.0,8.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-06 13:30:00,,,,,,,0.0,4.978,SDR-097,,-4.978,0.0,0.0,8.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-20 10:00:00,,0.0,,,,,,,SDR-097,,,0.0,0.0,8.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-20 10:00:00,,,,,,,-0.688976377953,4.948,SDR-097,,-5.63697637795,0.0,0.0,8.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-03 12:00:00,,0.0,,,,,,,SDR-097,0.0,,,,8.0,52.0,,,,,,
2017-08-03 12:00:00,,,,,,,0.0,,SDR-097,,,,,8.0,52.0,,,,,,
2017-08-17 11:25:00,,0.0,,,,,,,SDR-097,,,0.0,0.0,8.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-17 11:25:00,,,,,,,-1.1811023622,4.38,SDR-097,,-5.5611023622,0.0,0.0,8.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-31 12:55:00,,0.0,,,,,,,SDR-097,0.0,,0.12,0.12,8.0,52.0,0.011,0.011,0.011,0.011,0.011,0.011
2017-08-31 12:55:00,,,,,,,0.0,5.103,SDR-097,,-5.103,0.12,0.12,8.0,52.0,0.011,0.011,0.011,0.011,0.011,0.011
2017-09-19 13:55:00,,0.0,,,,,,,SDR-097,0.0,,0.15,0.15,8.0,52.0,0.02,0.02,0.02,0.02,0.02,0.02
2017-09-19 13:55:00,,,,,,,0.0,5.13,SDR-097,,-5.13,0.15,0.15,8.0,52.0,0.02,0.02,0.02,0.02,0.02,0.02
2017-10-03 12:30:00,,0.0,,,,,,,SDR-097,0.0,,,,,,,,,,,
2017-10-03 12:30:00,,,,,,,0.0,4.842,SDR-097,,-4.842,,,,,,,,,,
2018-05-14 00:55:00,,0.0,,,,,,,SDR-097,,,0.0,0.0,8.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-14 00:55:00,2018-05-14 01:00:00,,,,,,-1.96850393701,0.71,SDR-097,,-2.67850393701,0.0,0.0,8.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-29 10:35:00,2018-05-29 10:40:00,,,,,,0.0,0.16,SDR-097,,-0.16,0.0,0.0,8.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-12 11:10:00,2018-06-12 11:15:00,,,,,,0.0,1.38,SDR-097,,-1.38,0.0,0.0,8.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-25 13:20:00,2018-06-25 13:25:00,,,,,,0.0,,SDR-097,,,0.0,0.0,8.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-09 14:10:00,2018-07-09 14:15:00,,,,,,0.0,-0.79,SDR-097,,0.79,0.0,0.0,8.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-17 15:05:00,,0.0,,,,,,,SDR-097,,,0.0,0.0,8.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-17 15:05:00,2018-07-17 15:10:00,,,,,,-1.25,0.94,SDR-097,,-2.19,0.0,0.0,8.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-23 13:25:00,,0.0,,,,,,,SDR-097,,,0.0,0.0,8.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-23 13:25:00,2018-07-23 13:30:00,,,,,,0.0,0.63,SDR-097,,-0.63,0.0,0.0,8.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-07 12:45:00,2018-08-07 12:50:00,,,,,,0.0,0.59,SDR-097,,-0.59,0.0,0.0,8.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-23 13:00:00,2018-08-23 13:05:00,,,,,,0.0,1.93,SDR-097,,-1.93,0.0,0.0,8.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-05 11:20:00,2018-09-05 11:25:00,,,,,,-1.49606299213,1.3,SDR-097,,-2.79606299213,0.0,0.0,8.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-18 11:50:00,2018-09-18 11:55:00,,,,,,0.0,-0.79,SDR-097,,0.79,0.0,0.0,8.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
