,ns1:name3,ns1:coordinates,lng,lat
139,SLR-120,"-117.1435651,33.23089656,0",-117.1435651,33.23089656
140,SLR-120,"-117.1435651,33.23089656,0",-117.1435651,33.23089656
141,SLR-120,"-117.1435651,33.23089656,0",-117.1435651,33.23089656
142,SLR-120,"-117.1435651,33.23089656,0",-117.1435651,33.23089656
143,SLR-120,"-117.1435651,33.23089656,0",-117.1435651,33.23089656
144,SLR-120,"-117.1435651,33.23089656,0",-117.1435651,33.23089656
145,SLR-402,"-117.1894968,33.34113257,0",-117.1894968,33.34113257
146,SLR-402,"-117.1894968,33.34113257,0",-117.1894968,33.34113257
147,SLR-402,"-117.1894968,33.34113257,0",-117.1894968,33.34113257
148,SLR-402,"-117.1894968,33.34113257,0",-117.1894968,33.34113257
149,SLR-402,"-117.1894968,33.34113257,0",-117.1894968,33.34113257
150,SLR-402,"-117.1894968,33.34113257,0",-117.1894968,33.34113257
151,SLR-103,"-117.162922,33.26665765,0",-117.162922,33.26665765
152,SLR-103,"-117.162922,33.26665765,0",-117.162922,33.26665765
153,SLR-103,"-117.162922,33.26665765,0",-117.162922,33.26665765
154,SLR-103,"-117.162922,33.26665765,0",-117.162922,33.26665765
155,SLR-103,"-117.162922,33.26665765,0",-117.162922,33.26665765
156,SLR-103,"-117.162922,33.26665765,0",-117.162922,33.26665765
157,MS4-SDG-077E,"-117.1064716,33.02114635,0",-117.1064716,33.02114635
158,MS4-SDG-077E,"-117.1064716,33.02114635,0",-117.1064716,33.02114635
159,MS4-SDG-077E,"-117.1064716,33.02114635,0",-117.1064716,33.02114635
160,MS4-SDG-077E,"-117.1064716,33.02114635,0",-117.1064716,33.02114635
161,MS4-SDG-077E,"-117.1064716,33.02114635,0",-117.1064716,33.02114635
162,MS4-SDG-077E,"-117.1064716,33.02114635,0",-117.1064716,33.02114635
163,MS4-SDG-074K,"-117.1075641,33.0152695,0",-117.1075641,33.0152695
164,MS4-SDG-074K,"-117.1075641,33.0152695,0",-117.1075641,33.0152695
165,MS4-SDG-074K,"-117.1075641,33.0152695,0",-117.1075641,33.0152695
166,MS4-SDG-074K,"-117.1075641,33.0152695,0",-117.1075641,33.0152695
167,MS4-SDG-074K,"-117.1075641,33.0152695,0",-117.1075641,33.0152695
168,MS4-SDG-074K,"-117.1075641,33.0152695,0",-117.1075641,33.0152695
169,MS4-SDG-084J,"-117.1123972,33.01468964,0",-117.1123972,33.01468964
170,MS4-SDG-084J,"-117.1123972,33.01468964,0",-117.1123972,33.01468964
171,MS4-SDG-084J,"-117.1123972,33.01468964,0",-117.1123972,33.01468964
172,MS4-SDG-084J,"-117.1123972,33.01468964,0",-117.1123972,33.01468964
173,MS4-SDG-084J,"-117.1123972,33.01468964,0",-117.1123972,33.01468964
174,MS4-SDG-084J,"-117.1123972,33.01468964,0",-117.1123972,33.01468964
175,MS4-SDG-085G,"-117.1163342,33.01665814,0",-117.1163342,33.01665814
176,MS4-SDG-085G,"-117.1163342,33.01665814,0",-117.1163342,33.01665814
177,MS4-SDG-085G,"-117.1163342,33.01665814,0",-117.1163342,33.01665814
178,MS4-SDG-085G,"-117.1163342,33.01665814,0",-117.1163342,33.01665814
179,MS4-SDG-085G,"-117.1163342,33.01665814,0",-117.1163342,33.01665814
180,MS4-SDG-085G,"-117.1163342,33.01665814,0",-117.1163342,33.01665814
181,MS4-SLR-150B,"-117.2160715,33.28306182,0",-117.2160715,33.28306182
182,MS4-SLR-150B,"-117.2160715,33.28306182,0",-117.2160715,33.28306182
183,MS4-SLR-150B,"-117.2160715,33.28306182,0",-117.2160715,33.28306182
184,MS4-SLR-150B,"-117.2160715,33.28306182,0",-117.2160715,33.28306182
185,MS4-SLR-150B,"-117.2160715,33.28306182,0",-117.2160715,33.28306182
186,MS4-SLR-150B,"-117.2160715,33.28306182,0",-117.2160715,33.28306182
187,MS4-SLR-150C,"-117.2157435,33.28273372,0",-117.2157435,33.28273372
188,MS4-SLR-150C,"-117.2157435,33.28273372,0",-117.2157435,33.28273372
189,MS4-SLR-150C,"-117.2157435,33.28273372,0",-117.2157435,33.28273372
190,MS4-SLR-150C,"-117.2157435,33.28273372,0",-117.2157435,33.28273372
191,MS4-SLR-150C,"-117.2157435,33.28273372,0",-117.2157435,33.28273372
192,MS4-SLR-150C,"-117.2157435,33.28273372,0",-117.2157435,33.28273372
193,SLR-045B,"-117.1415966,33.23319315,0",-117.1415966,33.23319315
194,SLR-045B,"-117.1415966,33.23319315,0",-117.1415966,33.23319315
195,SLR-045B,"-117.1415966,33.23319315,0",-117.1415966,33.23319315
196,SLR-045B,"-117.1415966,33.23319315,0",-117.1415966,33.23319315
197,SLR-045B,"-117.1415966,33.23319315,0",-117.1415966,33.23319315
198,SLR-045B,"-117.1415966,33.23319315,0",-117.1415966,33.23319315
205,MS4-CAR-059,"-117.1875283,33.04356098,0",-117.1875283,33.04356098
206,MS4-CAR-059,"-117.1875283,33.04356098,0",-117.1875283,33.04356098
207,MS4-CAR-059,"-117.1875283,33.04356098,0",-117.1875283,33.04356098
208,MS4-CAR-059,"-117.1875283,33.04356098,0",-117.1875283,33.04356098
209,MS4-CAR-059,"-117.1875283,33.04356098,0",-117.1875283,33.04356098
210,MS4-CAR-059,"-117.1875283,33.04356098,0",-117.1875283,33.04356098
211,SDR-723,"-116.9449398,32.86744728,0",-116.9449398,32.86744728
212,SDR-723,"-116.9449398,32.86744728,0",-116.9449398,32.86744728
213,SDR-723,"-116.9449398,32.86744728,0",-116.9449398,32.86744728
214,SDR-723,"-116.9449398,32.86744728,0",-116.9449398,32.86744728
215,SDR-723,"-116.9449398,32.86744728,0",-116.9449398,32.86744728
216,SDR-723,"-116.9449398,32.86744728,0",-116.9449398,32.86744728
217,MS4-SLR-154,"-117.1534076,33.32702498,0",-117.1534076,33.32702498
218,MS4-SLR-154,"-117.1534076,33.32702498,0",-117.1534076,33.32702498
219,MS4-SLR-154,"-117.1534076,33.32702498,0",-117.1534076,33.32702498
220,MS4-SLR-154,"-117.1534076,33.32702498,0",-117.1534076,33.32702498
221,MS4-SLR-154,"-117.1534076,33.32702498,0",-117.1534076,33.32702498
222,MS4-SLR-154,"-117.1534076,33.32702498,0",-117.1534076,33.32702498
223,MS4-SDR-223,"-116.96145,32.81239,0",-116.96145,32.81239
224,MS4-SDR-223,"-116.96145,32.81239,0",-116.96145,32.81239
225,MS4-SDR-223,"-116.96145,32.81239,0",-116.96145,32.81239
226,MS4-SDR-223,"-116.96145,32.81239,0",-116.96145,32.81239
227,MS4-SDR-223,"-116.96145,32.81239,0",-116.96145,32.81239
228,MS4-SDR-223,"-116.96145,32.81239,0",-116.96145,32.81239
229,MS4-SDR-568,"-116.95884,32.81244,0",-116.95884,32.81244
230,MS4-SDR-568,"-116.95884,32.81244,0",-116.95884,32.81244
231,MS4-SDR-568,"-116.95884,32.81244,0",-116.95884,32.81244
