Datetime,Datetime_after,Flow_gpm_1,Flow_gpm_2,Flow_gpm_3,Level_above_V_in_After,Level_above_V_in_Before,Manual Level_in,SITE ID,calculated offset,Level_in,Level_in_clipped,Vnotch(in),CrestWidth(in),Flow (gpm),Flow (gpm) no stormflow,Flow (gpm) USBR,Flow (gpm) USBR no stormflow,Flow (gpm) CTRSC,Flow (gpm) CTRSC no stormflow
5/12/2016 12:00,,0,,,,,,,,0.13,0.13,6,90,0.014,0.014,0.014,0.014,0.014,0.014
5/23/2016 11:35,,0,,,,,,,,,,6,90,,,,,,
6/27/2016 11:50,,0,,,,,,,,0,0,6,90,0,0,0,0,0,0
7/21/2016 11:15,,0,,,,,,,,0.05,0.05,6,90,0.001,0.001,0.001,0.001,0.001,0.001
8/4/2016 10:45,,0,,,,,,,,0,0,6,90,0,0,0,0,0,0
8/9/2016 9:30,,0,,,,,,,,,,6,90,,,,,,
8/24/2016 11:20,,0,,,,,,,,0,0,6,90,0,0,0,0,0,0
9/22/2016 12:00,,0,,,,,,,,0,,6,90,0,,0,,0,
10/5/2016 10:10,,0,,,,,,,,,,,,,,,,,
