Datetime,Comments,Datetime_after,Flow_gpm_1,Flow_gpm_2,Flow_gpm_3,Flow_predicted (gpm),GPM,Level (inches),Level_above_V_in_After,Level_above_V_in_Before,Manual Level_in,Manual Measurement (inches),Predicted_flow_After,Predicted_flow_Before,SITE ID,V-notch weir equation (gpm),calculated offset,Level_in,Level_in_clipped,Vnotch(in),CrestWidth(in),Flow (gpm),Flow (gpm) no stormflow,Flow (gpm) USBR,Flow (gpm) USBR no stormflow,Flow (gpm) CTRSC,Flow (gpm) CTRSC no stormflow
2017-04-28 10:10:00,,,39.625769861,,,,,,,,,,,,SDR-207,32.216,,,,,,,,,,,
2017-04-28 10:10:00,,,,,,,,,,2.898173,5.193,,,,SDR-207,,-2.294827,,,,,,,,,,
2017-05-11 12:00:00,,,39.625769861,,,,,,,,,,,,SDR-207,34.483,,,,9.0,96.0,,,,,,
2017-05-11 12:00:00,,,,,,,,,,2.977575,-0.126,,,,SDR-207,,3.103575,,,9.0,96.0,,,,,,
2017-05-30 10:00:00,,,21.0016580263,,,,,,,,,,,,SDR-207,22.452,,2.87,2.87,9.0,96.0,31.663,31.663,31.663,31.663,31.663,31.663
2017-05-30 10:00:00,,,,,,,,,,2.5,3.982,,,,SDR-207,,-1.482,2.87,2.87,9.0,96.0,31.663,31.663,31.663,31.663,31.663,31.663
2017-06-08 12:30:00,,,30.0838844785,,,,,,,,,,,,SDR-207,12.884,,2.46,2.46,9.0,96.0,21.568,21.568,21.568,21.568,21.568,21.568
2017-06-08 12:30:00,,,,,,,,,,2.0,3.569,,,,SDR-207,,-1.569,2.46,2.46,9.0,96.0,21.568,21.568,21.568,21.568,21.568,21.568
2017-06-21 09:00:00,,,27.6323701831,,,,,,,,,,,,SDR-207,17.272,,2.6,2.6,9.0,96.0,24.755,24.755,24.755,24.755,24.755,24.755
2017-06-21 09:00:00,,,,,,,,,,2.25,3.712,,,,SDR-207,,-1.462,2.6,2.6,9.0,96.0,24.755,24.755,24.755,24.755,24.755,24.755
2017-07-06 12:40:00,,,0.0,,,,,,,,,,,,SDR-207,,,2.77,2.77,9.0,96.0,28.986,28.986,28.986,28.986,28.986,28.986
2017-07-06 12:40:00,,,,,,,,,,2.1653555,3.876,,,,SDR-207,,-1.7106445,2.77,2.77,9.0,96.0,28.986,28.986,28.986,28.986,28.986,28.986
2017-07-06 12:45:00,,,24.6811937991,,,,,,,,,,,,SDR-207,17.082,,2.88,2.88,9.0,96.0,31.938,31.938,31.938,31.938,31.938,31.938
2017-07-06 12:45:00,,,,,,,,,,2.2440957,3.995,,,,SDR-207,,-1.7509043,2.88,2.88,9.0,96.0,31.938,31.938,31.938,31.938,31.938,31.938
