Datetime,Datetime_after,Flow_gpm_1,Flow_gpm_2,Flow_gpm_3,Level_above_V_in_After,Level_above_V_in_Before,Manual Level_in,SITE ID,V-notch weir equation (gpm),calculated offset,Level_in,Level_in_clipped,Vnotch(in),CrestWidth(in),Flow (gpm),Flow (gpm) no stormflow,Flow (gpm) USBR,Flow (gpm) USBR no stormflow,Flow (gpm) CTRSC,Flow (gpm) CTRSC no stormflow
2017-04-28 12:20:00,,0.0,,,,,,SWT-019,0.0,,,,,,,,,,,
2017-04-28 12:20:00,,,,,,0.0,12.747,SWT-019,,-12.747,,,,,,,,,,
2017-05-30 12:05:00,,0.0,,,,,,SWT-019,0.0,,0.0,0.0,6.0,34.5,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-30 12:05:00,,,,,,0.0,13.402,SWT-019,,-13.402,0.0,0.0,6.0,34.5,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-08 09:20:00,,0.0422674878517,,,,,,SWT-019,0.011,,0.0,0.0,6.0,34.5,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-08 09:20:00,,,,,,0.125,13.356,SWT-019,,-13.231,0.0,0.0,6.0,34.5,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-21 12:00:00,,0.0132085899537,,,,,,SWT-019,0.011,,0.11,0.11,6.0,34.5,0.009,0.009,0.009,0.009,0.009,0.009
2017-06-21 12:00:00,,,,,,0.125,13.728,SWT-019,,-13.603,0.11,0.11,6.0,34.5,0.009,0.009,0.009,0.009,0.009,0.009
2017-07-06 11:25:00,,0.0,,,,,,SWT-019,,,0.54,0.54,6.0,34.5,0.482,0.482,0.482,0.482,0.482,0.482
2017-07-06 11:25:00,,0.149257066476,,,,,,SWT-019,0.214,,0.54,0.54,6.0,34.5,0.482,0.482,0.482,0.482,0.482,0.482
2017-07-06 11:25:00,,,,,,0.393701,14.162,SWT-019,,-13.768299,0.54,0.54,6.0,34.5,0.482,0.482,0.482,0.482,0.482,0.482
2017-07-06 11:25:00,,,,,,0.393701,14.162,SWT-019,,-13.768299,0.54,0.54,6.0,34.5,0.482,0.482,0.482,0.482,0.482,0.482
2017-07-06 11:25:00,,,,,,0.393701,14.162,SWT-019,,-13.768299,0.54,0.54,6.0,34.5,0.482,0.482,0.482,0.482,0.482,0.482
2017-07-06 11:25:00,,,,,,0.393701,14.162,SWT-019,,-13.768299,0.54,0.54,6.0,34.5,0.482,0.482,0.482,0.482,0.482,0.482
2017-07-20 12:40:00,,0.0039625769861,,,,,,SWT-019,0.009,,0.29,0.29,6.0,34.5,0.102,0.102,0.102,0.102,0.102,0.102
2017-07-20 12:40:00,,,,,,0.11811023622,13.912,SWT-019,,-13.7938897638,0.29,0.29,6.0,34.5,0.102,0.102,0.102,0.102,0.102,0.102
2017-07-20 12:50:00,,0.0,,,,,,SWT-019,0.003,,0.3,0.3,6.0,34.5,0.111,0.111,0.111,0.111,0.111,0.111
2017-07-20 12:50:00,,,,,,0.0787401574803,13.926,SWT-019,,-13.8472598425,0.3,0.3,6.0,34.5,0.111,0.111,0.111,0.111,0.111,0.111
2017-08-03 09:35:00,,0.0,,,,,,SWT-019,0.035,,,,6.0,34.5,,,,,,
2017-08-03 09:35:00,,,,,,0.196850393701,,SWT-019,,,,,6.0,34.5,,,,,,
2017-08-17 08:15:00,,0.0,,,,,,SWT-019,0.0,,0.0,0.0,6.0,34.5,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-17 08:15:00,,,,,,0.0,13.264,SWT-019,,-13.264,0.0,0.0,6.0,34.5,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-31 08:20:00,,0.0158503079444,,,,,,SWT-019,0.009,,0.0,0.0,6.0,34.5,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-31 08:20:00,,,,,,0.11811023622,13.493,SWT-019,,-13.3748897638,0.0,0.0,6.0,34.5,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-19 09:55:00,,0.0,,,,,,SWT-019,0.0,,0.0,0.0,6.0,34.5,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-19 09:55:00,,,,,,0.0,12.933,SWT-019,,-12.933,0.0,0.0,6.0,34.5,0.0,0.0,0.0,0.0,0.0,0.0
2017-10-02 13:00:00,,0.356631928749,,,,,,SWT-019,0.273,,,,,,,,,,,
2017-10-02 13:00:00,,,,,,0.433070866142,13.063,SWT-019,,-12.6299291339,,,,,,,,,,
2018-04-25 13:15:00,2018-04-25 13:20:00,,,,,0.0,,SWT-019,,,,,,,,,,,,
2018-05-14 09:45:00,,0.0330214748842,,,,,,SWT-019,,,0.22,0.22,6.0,34.5,0.051,0.051,0.051,0.051,0.051,0.051
2018-05-14 09:45:00,2018-05-14 09:50:00,,,,,0.236220472441,5.86613,SWT-019,,-5.62990952756,0.22,0.22,6.0,34.5,0.051,0.051,0.051,0.051,0.051,0.051
2018-05-25 09:35:00,,2.8794726099,,,,,,SWT-019,,,1.04,1.04,6.0,34.5,2.541,2.541,2.541,2.541,2.541,2.541
2018-05-25 09:35:00,2018-05-25 09:40:00,,,,,0.984251968504,6.6929,SWT-019,,-5.7086480315,1.04,1.04,6.0,34.5,2.541,2.541,2.541,2.541,2.541,2.541
2018-06-11 12:10:00,2018-06-11 12:15:00,,,,,0.0,5.74802,SWT-019,,-5.74802,0.1,0.1,6.0,34.5,0.007,0.007,0.007,0.007,0.007,0.007
2018-06-25 09:40:00,,0.280022107018,,,,,,SWT-019,,,0.37,0.37,6.0,34.5,0.187,0.187,0.187,0.187,0.187,0.187
2018-06-25 09:40:00,2018-06-25 09:45:00,,,,,0.511811023622,6.02361,SWT-019,,-5.51179897638,0.37,0.37,6.0,34.5,0.187,0.187,0.187,0.187,0.187,0.187
