Datetime,Comments,Datetime_after,Flow_gpm_1,Flow_gpm_2,Flow_gpm_3,Flow_predicted (gpm),GPM,Level (inches),Level_above_V_in_After,Level_above_V_in_Before,Manual Level_in,Manual Measurement (inches),Predicted_flow_After,Predicted_flow_Before,SITE ID,V-notch weir equation (gpm),calculated offset,Level_in,Level_in_clipped,Vnotch(in),CrestWidth(in),Flow (gpm),Flow (gpm) no stormflow,Flow (gpm) USBR,Flow (gpm) USBR no stormflow,Flow (gpm) CTRSC,Flow (gpm) CTRSC no stormflow
2017-04-28 10:20:00,,,0.330214748842,,,,,,,,,,,,SDR-127,0.341,,,,,,,,,,,
2017-04-28 10:20:00,,,,,,,,,,0.476412,-0.134,,,,SDR-127,,0.610412,,,,,,,,,,
2017-05-11 11:30:00,,,0.443808622443,,,,,,,,,,,,SDR-127,0.214,,,,7.5,66.0,,,,,,
2017-05-11 11:30:00,,,,,,,,,,0.39701,,,,,SDR-127,,,,,7.5,66.0,,,,,,
2017-05-30 10:20:00,,,0.237754619166,,,,,,,,,,,,SDR-127,0.011,,0.28,0.28,7.5,66.0,0.093,0.093,0.093,0.093,0.093,0.093
2017-05-30 10:20:00,,,,,,,,,,0.125,0.352,,,,SDR-127,,-0.227,0.28,0.28,7.5,66.0,0.093,0.093,0.093,0.093,0.093,0.093
2017-06-08 12:15:00,,,0.132085899537,,,,,,,,,,,,SDR-127,0.07,,0.05,0.05,7.5,66.0,0.001,0.001,0.001,0.001,0.001,0.001
2017-06-08 12:15:00,,,,,,,,,,0.25,0.119,,,,SDR-127,,0.131,0.05,0.05,7.5,66.0,0.001,0.001,0.001,0.001,0.001,0.001
2017-06-21 09:40:00,,,0.0673638087637,,,,,,,,,,,,SDR-127,0.011,,0.0,0.0,7.5,66.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-21 09:40:00,,,,,,,,,,0.125,-0.302,,,,SDR-127,,0.427,0.0,0.0,7.5,66.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-06 12:25:00,,,0.0,,,,,,,,,,,,SDR-127,,,0.0,0.0,7.5,66.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-06 12:25:00,,,,,,,,,,0.393701,-0.094,,,,SDR-127,,0.487701,0.0,0.0,7.5,66.0,0.0,0.0,0.0,0.0,0.0,0.0
