Datetime,Datetime_after,Flow_gpm_1,Flow_gpm_2,Flow_gpm_3,GPM,Level_above_V_in_After,Level_above_V_in_Before,Manual Level_in,SITE ID,V-notch weir equation (gpm),calculated offset,Level_in,Level_in_clipped,Vnotch(in),CrestWidth(in),Flow (gpm),Flow (gpm) no stormflow,Flow (gpm) USBR,Flow (gpm) USBR no stormflow,Flow (gpm) CTRSC,Flow (gpm) CTRSC no stormflow
2017-04-28 09:50:00,,26.3907627274,,,,,,,SDR-098,25.232,,,,,,,,,,,
2017-05-11 13:45:00,,0.0,,,,,,,SDR-098,0.0,,0.0,,6.0,53.0,0.0,,0.0,,0.0,
2017-05-26 13:15:00,,0.0290588978981,,,,,,,SDR-098,0.07,,0.0,0.0,6.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-08 13:05:00,,0.0,,,,,,,SDR-098,0.011,,0.0,0.0,6.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-20 12:45:00,,0.0,,,,,,,SDR-098,0.0,,0.0,0.0,6.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-06 13:10:00,,0.0,,,,,,,SDR-098,,,0.0,0.0,6.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-20 09:30:00,,0.0,,,,,,,SDR-098,0.0,,0.0,0.0,6.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-20 09:45:00,,0.0,,,,,,,SDR-098,0.0,,0.0,0.0,6.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-03 11:45:00,,0.0,,,,,,,SDR-098,0.0,,0.0,0.0,6.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-17 11:00:00,,0.0,,,,,,,SDR-098,,,0.0,0.0,6.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-31 13:05:00,,0.0,,,,,,,SDR-098,0.0,,0.0,0.0,6.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-19 15:35:00,,0.0,,,,,,,SDR-098,0.0,,0.0,0.0,6.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-10-03 13:00:00,,0.0,,,,,,,SDR-098,0.0,,,,,,,,,,,
2018-05-14 00:45:00,,0.0,,,,,,,SDR-098,,,0.0,0.0,6.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-09 14:00:00,,0.0132085899537,,,,,,,SDR-098,,,0.09,0.09,6.0,55.0,0.005,0.005,0.005,0.005,0.005,0.005
2018-07-17 15:15:00,,0.0,,,,,,,SDR-098,,,0.05,0.05,6.0,55.0,0.001,0.001,0.001,0.001,0.001,0.001
2018-07-23 13:15:00,,0.0,,,,,,,SDR-098,,,0.0,0.0,6.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0
