Datetime,Datetime_after,Flow_gpm_1,Flow_gpm_2,Flow_gpm_3,Level_above_V_in_After,Level_above_V_in_Before,Manual Level_in,SITE ID,calculated offset,Level_in,Level_in_clipped,Vnotch(in),CrestWidth(in),Flow (gpm),Flow (gpm) no stormflow,Flow (gpm) USBR,Flow (gpm) USBR no stormflow,Flow (gpm) CTRSC,Flow (gpm) CTRSC no stormflow
2018-05-15 08:35:00,,0.0264171799073,,,,,,SDR-207M,,0.41,0.41,4.0,38.0,0.242,0.242,0.242,0.242,0.242,0.242
2018-05-25 11:10:00,,0.813649141146,,,,,,SDR-207M,,0.76,0.76,4.0,38.0,1.133,1.133,1.133,1.133,1.133,1.133
2018-06-26 09:15:00,,0.0211337439259,,,,,,SDR-207M,,0.0,0.0,4.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-25 09:10:00,,0.0,,,,,,SDR-207M,,0.0,0.0,4.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0
