site.name,lng,lat
MS4-SLR-095,-117.0976335,33.22138214
MS4-SLR-095,-117.0976335,33.22138214
MS4-SLR-095,-117.0976335,33.22138214
MS4-SLR-095,-117.0976335,33.22138214
MS4-SLR-095,-117.0976335,33.22138214
MS4-SLR-095,-117.0976335,33.22138214
MS4-CAR-069,-117.2042605,33.1259099
MS4-CAR-069,-117.2042605,33.1259099
MS4-CAR-069,-117.2042605,33.1259099
MS4-CAR-069,-117.2042605,33.1259099
MS4-CAR-069,-117.2042605,33.1259099
MS4-CAR-069,-117.2042605,33.1259099
MS4-CAR-070,-117.2049167,33.12623797
MS4-CAR-070,-117.2049167,33.12623797
MS4-CAR-070,-117.2049167,33.12623797
MS4-CAR-070,-117.2049167,33.12623797
MS4-CAR-070,-117.2049167,33.12623797
MS4-CAR-070,-117.2049167,33.12623797
MS4-CAR-072,-117.2098379,33.1200044
MS4-CAR-072,-117.2098379,33.1200044
MS4-CAR-072,-117.2098379,33.1200044
MS4-CAR-072,-117.2098379,33.1200044
MS4-CAR-072,-117.2098379,33.1200044
MS4-CAR-072,-117.2098379,33.1200044
MS4-CAR-072O,-117.2154154,33.12525372
MS4-CAR-072O,-117.2154154,33.12525372
MS4-CAR-072O,-117.2154154,33.12525372
MS4-CAR-072O,-117.2154154,33.12525372
MS4-CAR-072O,-117.2154154,33.12525372
MS4-CAR-072O,-117.2154154,33.12525372
MS4-CAR-072B,-117.2104941,33.1200044
MS4-CAR-072B,-117.2104941,33.1200044
MS4-CAR-072B,-117.2104941,33.1200044
MS4-CAR-072B,-117.2104941,33.1200044
MS4-CAR-072B,-117.2104941,33.1200044
MS4-CAR-072B,-117.2104941,33.1200044
SLR-045,-117.1438932,33.23319315
SLR-045,-117.1438932,33.23319315
SLR-045,-117.1438932,33.23319315
SLR-045,-117.1438932,33.23319315
SLR-045,-117.1438932,33.23319315
SLR-045,-117.1438932,33.23319315
MS4-SLR-150,-117.2170558,33.28371798
MS4-SLR-150,-117.2170558,33.28371798
MS4-SLR-150,-117.2170558,33.28371798
MS4-SLR-150,-117.2170558,33.28371798
MS4-SLR-150,-117.2170558,33.28371798
MS4-SLR-150,-117.2170558,33.28371798
MS4-SDG-077,-117.1087883,33.01895472
MS4-SDG-077,-117.1087883,33.01895472
MS4-SDG-077,-117.1087883,33.01895472
MS4-SDG-077,-117.1087883,33.01895472
MS4-SDG-077,-117.1087883,33.01895472
MS4-SDG-077,-117.1087883,33.01895472
MS4-SDG-080,-117.1160061,33.00287865
MS4-SDG-080,-117.1160061,33.00287865
MS4-SDG-080,-117.1160061,33.00287865
MS4-SDG-080,-117.1160061,33.00287865
MS4-SDG-080,-117.1160061,33.00287865
MS4-SDG-080,-117.1160061,33.00287865
